"","X1","probs","quinteto","Year","Player","Pos"
"267",586,0.0127010949779408,0,2015,"Marcus Thornton","SG"
"268",299,0.0125996769387676,0,2015,"Grant Jerrett","PF"
"269",31,0.0125209399995431,0,2015,"D.J. Augustin","PG"
"270",4,0.0124563988959913,0,2015,"Jeff Adrien","PF"
"271",319,0.0123402707705135,0,2015,"Chris Kaman","C"
"272",44,0.0123289645463808,0,2015,"Brandon Bass","PF"
"273",263,0.0123173789648924,0,2015,"John Henson","C"
"274",612,0.0122936820474469,0,2015,"David Wear","PF"
"275",489,0.0121880886321095,0,2015,"Glen Rice","SG"
"276",359,0.0121075351005865,0,2015,"John Lucas","PG"
"277",146,0.0120486267026878,0,2015,"Brandon Davies","PF"
"278",207,0.0120303131547347,0,2015,"Kevin Garnett","PF"
"279",499,0.0116283526171454,0,2015,"Glenn Robinson","SF"
"280",28,0.0111285451461604,0,2015,"Omer Asik","C"
"281",477,0.01092607455425,0,2015,"Pablo Prigioni","PG"
"282",232,0.0109001869448273,0,2015,"JaMychal Green","PF"
"283",341,0.0108882435413332,0,2015,"Ricky Ledo","SG"
"284",214,0.0108196954640804,0,2015,"Alonzo Gee","SF"
"285",604,0.0105060234558995,0,2015,"Dion Waiters","SG"
"286",261,0.0104498490569944,0,2015,"Gerald Henderson","SG"
"287",482,0.010385279649614,0,2015,"Miroslav Raduljica","C"
"288",519,0.0103654225464111,0,2015,"Luis Scola","PF"
"289",646,0.0102587759547278,0,2015,"Nick Young","SG"
"290",380,0.0102463330440272,0,2015,"JaVale McGee","C"
"291",109,0.0102083075220457,0,2015,"Will Cherry","PG"
"292",648,0.0101160791254059,0,2015,"Thaddeus Young","PF"
"293",364,0.00991166372747795,0,2015,"Kendall Marshall","PG"
"294",304,0.00983879093481013,0,2015,"Chris Johnson","SF"
"295",285,0.0098023769400977,0,2015,"Jarrett Jack","PG"
"296",472,0.0097001698487371,0,2015,"A.J. Price","PG"
"297",99,0.0096385205581673,0,2015,"Clint Capela","C"
