"","probs","quinteto","Year","Player"
"379",0.146662073548309,0,2015,"Mitch McGary"
"527",0.146552087083166,0,2015,"Iman Shumpert"
"452",0.144910580901685,0,2015,"Elfrid Payton"
"190",0.144636103216172,0,2015,"Jordan Farmar"
"409",0.144218145884836,0,2015,"Anthony Morrow"
"130",0.142399905710466,0,2015,"Jae Crowder"
"168",0.141064333540504,0,2015,"Zoran Dragic"
"614",0.140704150688328,0,2015,"Martell Webster"
"272",0.140547565441293,0,2015,"Justin Holiday"
"214",0.14003307205596,0,2015,"Alonzo Gee"
"46",0.139972122792945,0,2015,"Jerryd Bayless"
"369",0.139632671772557,0,2015,"Jason Maxiell"
"6",0.139079165965718,0,2015,"Arron Afflalo"
"135",0.138921208584628,0,2015,"Seth Curry"
"385",0.138755034136516,0,2015,"Josh McRoberts"
"96",0.138676227887967,0,2015,"Isaiah Canaan"
"301",0.138623397551976,0,2015,"Grant Jerrett"
"63",0.138542982730146,0,2015,"Vander Blue"
"173",0.137627357497005,0,2015,"Jared Dudley"
"439",0.137035554743357,0,2015,"Kelly Olynyk"
"232",0.135392469778919,0,2015,"JaMychal Green"
"292",0.135185086686253,0,2015,"Cory Jefferson"
"473",0.129999976728412,0,2015,"A.J. Price"
"384",0.129922836065832,0,2015,"Jerel McNeal"
"338",0.129494229610673,0,2015,"Joffrey Lauvergne"
"557",0.129224003513087,0,2015,"Lance Stephenson"
"650",0.128667865197931,0,2015,"Cody Zeller"
"594",0.128359925914776,0,2015,"Ekpe Udoh"
"14",0.128120064353538,0,2015,"Al-Farouq Aminu"
"482",0.12747866181253,0,2015,"Miroslav Raduljica"
"560",0.126950732513509,0,2015,"Jarnell Stokes"
"620",0.126947878207,0,2015,"C.J. Wilcox"
"294",0.125701686464296,0,2015,"John Jenkins"
"200",0.125168036705512,0,2015,"Jimmer Fredette"
"588",0.124107941494726,0,2015,"Anthony Tolliver"
"213",0.124019070555933,0,2015,"Alonzo Gee"
"342",0.123999279824898,0,2015,"Ricky Ledo"
"578",0.123900129078287,0,2015,"Malcolm Thomas"
"114",0.123647887991933,0,2015,"Ian Clark"
"372",0.122272211619933,0,2015,"James Michael"
"141",0.121515839375815,0,2015,"Troy Daniels"
"609",0.120857107749517,0,2015,"Gerald Wallace"
"447",0.120210698677434,0,2015,"Patrick Patterson"
"56",0.119857329803381,0,2015,"Bismack Biyombo"
"238",0.118410151903761,0,2015,"Willie Green"
"116",0.116525222946321,0,2015,"Victor Claver"
"396",0.116011641239768,0,2015,"Quincy Miller"
"427",0.115363343978622,0,2015,"Andrew Nicholson"
"212",0.115177983827196,0,2015,"Alonzo Gee"
"170",0.115062512900462,0,2015,"Zoran Dragic"
"38",0.114303074212139,0,2015,"Harrison Barnes"
"590",0.113599287453707,0,2015,"P.J. Tucker"
"343",0.113396879228073,0,2015,"Ricky Ledo"
"515",0.112881910280149,0,2015,"John Salmons"
"60",0.112504459024721,0,2015,"DeJuan Blair"
"42",0.112361575508023,0,2015,"Will Barton"
"623",0.111227141078308,0,2015,"Elliot Williams"
"299",0.110675715856161,0,2015,"Grant Jerrett"
"504",0.11010358448349,0,2015,"Thomas Robinson"
"444",0.109079138863496,0,2015,"Jabari Parker"
"224",0.108485848917125,0,2015,"Eric Gordon"
"302",0.107580676155347,0,2015,"Amir Johnson"
"373",0.107201472349292,0,2015,"Ray McCallum"
"341",0.106636194211751,0,2015,"Ricky Ledo"
"162",0.104825322514408,0,2015,"Joey Dorsey"
"627",0.104670997745801,0,2015,"Marvin Williams"
"118",0.10442587525117,0,2015,"Norris Cole"
"344",0.103624251935195,0,2015,"Courtney Lee"
"474",0.102330029405107,0,2015,"Ronnie Price"
"201",0.102286417701412,0,2015,"Joel Freeland"
"570",0.101727383222427,0,2015,"Garrett Temple"
"407",0.101256171574626,0,2015,"Marcus Morris"
"150",0.0999367697173213,0,2015,"Glen Davis"
"622",0.0995719676339344,0,2015,"Derrick Williams"
"181",0.0986298330983826,0,2015,"Tyler Ennis"
"300",0.0981006114297237,0,2015,"Grant Jerrett"
"77",0.0969996413326899,0,2015,"Lorenzo Brown"
"374",0.0963534669518497,0,2015,"C.J. McCollum"
"59",0.0958354164092215,0,2015,"Tarik Black"
"123",0.0955441749219179,0,2015,"Jack Cooley"
"417",0.095301833252876,0,2015,"Toure' Murry"
"226",0.0951183883878136,0,2015,"Danny Granger"
"97",0.0946200524976087,0,2015,"Isaiah Canaan"
"140",0.0933954991103821,0,2015,"Troy Daniels"
"459",0.0925730866820282,0,2015,"Miles Plumlee"
"377",0.0925458461757946,0,2015,"K.J. McDaniels"
"415",0.09191271478588,0,2015,"Toure' Murry"
"558",0.0907137318954749,0,2015,"Greg Stiemsma"
"220",0.0904417631295532,0,2015,"Archie Goodwin"
"466",0.0886105288089125,0,2015,"Dwight Powell"
"589",0.0879772759637291,0,2015,"Anthony Tolliver"
"178",0.0873190780044036,0,2015,"Wayne Ellington"
"312",0.0867114760123128,0,2015,"Dahntay Jones"
"365",0.0866222798627884,0,2015,"Cartier Martin"
"110",0.0863129522559178,0,2015,"Patrick Christopher"
"395",0.0857381741974853,0,2015,"Quincy Miller"
"522",0.0855914668859992,0,2015,"Kevin Seraphin"
"416",0.0847122283628882,0,2015,"Toure' Murry"
